Street_Number,Street_Name,Street_Side,Skytrain_Station_Name,BIA,Number_of_Racks,Year_Installed,Latitude,Longitude,Full_Name
516,Abbott St,East,,HC,1,2014,49.28044740000001,-123.1069174,516 Abbott St
568,Abbott St,East,,HC,1,2014,49.2801287,-123.1073504,568 Abbott St
1488,Adanac,South,,,1,2014,49.2774355,-123.0745885,1488 Adanac
55,Alexander St,North,,GT,2,2012,49.2837931,-123.1029133,55 Alexander St
90,Alexander St,South,,GT,1,2012,49.2836249,-123.1023674,90 Alexander St
320,Alexander St,South,,,2,Prior 2010,49.2839462,-123.0968841,320 Alexander St
2780,Alma St,East,,,1,Prior 2010,49.2618576,-123.1857631,2780 Alma St
2723,Arbutus St,West,,,1,2015,49.26160180000001,-123.1532725,2723 Arbutus St
858,Beatty St,East,,,3,2011,49.2768595,-123.114727,858 Beatty St
355,Burrard St,West,,,2,2010,49.2874594,-123.1170213,355 Burrard St
1192,Burrard St,East,,,1,2015,49.2790543,-123.1288907,1192 Burrard St
1262,Burrard St,East,,,1,2015,49.2782078,-123.1299227,1262 Burrard St
1306,Burrard St,East,,,1,2015,49.2777235,-123.1308848,1306 Burrard St
440,Cambie St,East,,,1,Prior 2010,49.2817248,-123.1095974,440 Cambie St
888,Cambie St,East,,,1,Prior 2010,49.2772565,-123.1153326,888 Cambie St
930,Cambie St,South,,YT,4,2016,49.2769023,-123.1167147,930 Cambie St
2150,Cambie St,East,,,1,Prior 2010,49.266161,-123.1147709,2150 Cambie St
4038,Cambie St,East,,,1,Prior 2010,49.2496443,-123.1152276,4038 Cambie St
6488,Cambie St,East,Langara-49th,,3,2012,49.2263429,-123.1160385,6488 Cambie St
1078,Cardero St,East,,,3,2013,49.2862214,-123.1368125,1078 Cardero St
5487,Cecil St,West,,,1,Prior 2010,49.234911,-123.0368464,5487 Cecil St
303,Columbia St,West,,,1,Prior 2010,49.2122874,-123.1136165,303 Columbia St
1010,Commercial Drive,East,,,2,2012,49.275533,-123.0693517,1010 Commercial Drive
1035,Commercial Drive,West,,,2,2012,49.27506959999999,-123.0699133,1035 Commercial Drive
1858,Commercial Drive,East,,,1,2012,49.267916,-123.0694453,1858 Commercial Drive
2010,Commercial Drive,East,,,1,Prior 2010,49.266958,-123.0693744,2010 Commercial Drive
2915,Commercial Drive,West,,,1,2015,49.2584728,-123.0700508,2915 Commercial Drive
1995,Cornwall Av,North,,,1,2015,49.27264900000001,-123.149726,1995 Cornwall Av
110,Davie St,South,,,3,Prior 2010,49.27307829999999,-123.1203525,110 Davie St
605,Davie St,North,,DVBIA,1,2016,49.27675199999999,-123.1252269,605 Davie St
1105,Denman St,West,,,1,Prior 2010,49.2882531,-123.1406189,1105 Denman St
1210,Denman St,East,,,1,Prior 2010,49.28693879999999,-123.141931,1210 Denman St
3456,Dunbar St,East,,,1,Prior 2010,49.2559297,-123.1848177,3456 Dunbar St
4432,Dunbar St,East,,,1,2012,49.24679339999999,-123.1848906,4432 Dunbar St
4445,Dunbar St,West,,,1,Prior 2010,49.2469478,-123.1854939,4445 Dunbar St
4497,Dunbar St,West,,,1,Prior 2010,49.2463028,-123.1854284,4497 Dunbar St
146,E 3rd Av,South,,,1,2012,49.2679607,-123.1016943,146 E 3rd Av
20,E 4th Av,South,,,1,2011,49.267229,-123.104256,20 E 4th Av
303,E 8th Av,North,,,1,Prior 2010,49.2638215,-123.0987105,303 E 8th Av
1600,E 8th Av,North,,,1,2012,49.2630415,-123.0716941,1600 E 8th Av
800,E Broadway,South,,,1,Prior 2010,49.26227189999999,-123.0867508,800 E Broadway
93,E Cordova St,North,,GT,1,2012,49.28243639999999,-123.1026962,93 E Cordova St
288,E Hastings St,South,,CHTN,1,2014,49.2811682,-123.0979218,288 E Hastings St
638,E Hastings St,South,,,1,2015,49.2810097,-123.0908292,638 E Hastings St
843,E Hastings St,North,,STRC,1,2012,49.2813689,-123.0862024,843 E Hastings St
2614,E Hastings St,South,,,1,Prior 2010,49.2809754,-123.051494,2614 E Hastings St
142,E Pender St,South,,,1,2012,49.2801644,-123.1012963,142 E Pender St
5720,East Boulevard,East,,,1,2012,49.2342537,-123.1548735,5720 East Boulevard
1104,Franklin St,South,,,1,2015,49.2821564,-123.080995,1104 Franklin St
4386,Fraser St,East,,,1,2012,49.2457422,-123.0900366,4386 Fraser St
4590,Fraser St,East,,,2,2012,49.2437017,-123.0900461,4590 Fraser St
5838,Fraser St,East,,SHL,2,2011,49.2315546,-123.0904129,5838 Fraser St
6330,Fraser St,East,,SHL,1,2011,49.2272356,-123.090444,6330 Fraser St
189,Gore Av,West,,,1,2012,49.2833497,-123.0979231,189 Gore Av
2825,Grandview Hwy,North,,,2,2013,49.2583358,-123.0459541,2825 Grandview Hwy
543,Granville St,West,,,1,Prior 2010,49.2843723,-123.1158967,543 Granville St
798,Granville St,East,,,1,Prior 2010,49.28144400000001,-123.1192862,798 Granville St
929,Granville St,West,,,1,Prior 2010,49.27998969999999,-123.1222927,929 Granville St
1265,Granville St,West,,,1,Prior 2010,49.2765285,-123.1274916,1265 Granville St
2601,Granville St,West,,,1,Prior 2010,49.2624789,-123.1389435,2601 Granville St
2609,Granville St,West,,SGV,1,2013,49.2624528,-123.1389485,2609 Granville St
2658,Granville St,East,,SGV,1,2013,49.2622668,-123.1384351,2658 Granville St
3014,Granville St,East,,,1,Prior 2010,49.258568,-123.1385172,3014 Granville St
3061,Granville St,West,,,1,2015,49.2583225,-123.1389726,3061 Granville St
8333,Granville St,West,,MRP,1,2012,49.2111172,-123.1408204,8333 Granville St
8490,Granville St,East,,MRP,1,2012,49.2095753,-123.1400911,8490 Granville St
800,Griffiths Way,East,,,1,Prior 2010,49.2777744,-123.1085205,800 Griffiths Way
555,Hamilton St,North,,,1,Prior 2010,49.2814923,-123.1121492,555 Hamilton St
878,Hamilton St,East,,,1,2015,49.27815560000001,-123.1167305,878 Hamilton St
1020,Hamilton St,South,,YT,4,2016,49.2767256,-123.1198006,1020 Hamilton St
1009,Harwood St,North,,,2,2015,49.2780074,-123.1315191,1009 Harwood St
1095,Homer St,West,,,1,Prior 2010,49.2765651,-123.1217407,1095 Homer St
1290,Homer St,East,,,1,Prior 2010,49.2741872,-123.1244588,1290 Homer St
400,Hornby St,,,DVBIA,6,2016,49.2862652,-123.1160815,400 Hornby St
811,Hornby St,West,,,1,Prior 2010,49.2824624,-123.1223301,811 Hornby St
951,Hornby St,West,,,1,2012,49.2810918,-123.1244223,951 Hornby St
466,Howe St,East,,,1,2012,49.2853523,-123.1155453,466 Howe St
600,Howe St,East,,,4,2015,49.2842712,-123.1174253,600 Howe St
188,Kingsway,West,,,1,2013,49.2624401,-123.0993729,188 Kingsway
560,Kingsway,South,,,1,2013,49.25747519999999,-123.0929175,560 Kingsway
1356,Kingsway,South,,,1,2014,49.2503879,-123.0770264,1356 Kingsway
1391,Kingsway,North,,,1,2014,49.250466,-123.0763303,1391 Kingsway
1432,Kingsway,South,,,1,Prior 2010,49.2493741,-123.0747953,1432 Kingsway
1760,Kingsway,South,,,1,2013,49.2464811,-123.0685682,1760 Kingsway
4017,Macdonald St,West,,,1,2016,49.2507925,-123.1681015,4017 Macdonald St
4055,Macdonald St,West,,,1,2016,49.250478,-123.1680049,4055 Macdonald St
4109,Macdonald St,West,,,1,Prior 2010,49.2496917,-123.1680655,4109 Macdonald St
180,Main St,East,,,2,2015,49.2833306,-123.0991402,180 Main St
247,Main St,West,,,1,2015,49.2824665,-123.0998968,247 Main St
2015,Main St,West,,,2,2015,49.2668893,-123.1012246,2015 Main St
2429,Main St,West,,,1,2015,49.2632291,-123.1012142,2429 Main St
2655,Main St,West,,,1,Prior 2010,49.261562,-123.1014562,2655 Main St
2980,Main St,East,,,1,Prior 2010,49.258598,-123.1008378,2980 Main St
3010,Main St,East,,,1,Prior 2010,49.25824430000001,-123.1008515,3010 Main St
3045,Main St,West,,,2,Prior 2010,49.2578813,-123.1015404,3045 Main St
3080,Main St,East,,,1,2015,49.2577644,-123.1008602,3080 Main St
3463,Main St,West,,,1,2015,49.254019,-123.1011095,3463 Main St
3878,Main St,East,,,1,2015,49.25050239999999,-123.1007481,3878 Main St
3941,Main St,West,,,2,2015,49.2499386,-123.1013848,3941 Main St
4464,Main St,East,,,1,2015,49.2449092,-123.1011107,4464 Main St
4825,Main St,West,,,2,2015,49.2415261,-123.1017085,4825 Main St
4871,Main St,West,,,1,2015,49.2409719,-123.1016488,4871 Main St
4873,Main St,West,,,1,2015,49.24095699999999,-123.1016735,4873 Main St
1945,Manitoba St,West,,,1,2012,49.2675856,-123.10692,1945 Manitoba St
1228,Marinaside Crescent,South,,,4,Prior 2010,49.27232859999999,-123.1204936,1228 Marinaside Crescent
3244,Oak St,East,,,1,Prior 2010,49.2568004,-123.1269287,3244 Oak St
1863,Ontario St,West,,,2,2014,49.2685231,-123.1049138,1863 Ontario St
1156,Pacific Boulevard,South,,,1,2015,49.2741348,-123.1202871,1156 Pacific Boulevard
1195,Pacific Boulevard,North,,,2,2015,49.2743346,-123.121194,1195 Pacific Boulevard
1205,Pacific Boulevard,North,,YT,1,2016,49.2740868,-123.122011,1205 Pacific Boulevard
3700,Point Grey Rd,North,,,2,2014,49.2720357,-123.1854667,3700 Point Grey Rd
362,Powell St,South,,STRC,2,2012,49.2830167,-123.096257,362 Powell St
429,Powell St,North,,STRC,1,2012,49.2832067,-123.0948039,429 Powell St
528,Powell St,South,,,1,Prior 2010,49.28293069999999,-123.0924777,528 Powell St
569,Powell St,North,,,1,Prior 2010,49.2832809,-123.0918111,569 Powell St
580,Powell St,South,,,1,Prior 2010,49.28292829999999,-123.0917148,580 Powell St
606,Powell St,South,,,2,2015,49.2829381,-123.0911556,606 Powell St
1357,Powell St,North,,,3,2015,49.2833264,-123.0757859,1357 Powell St
460,Railway St,South,,,1,2015,49.2845167,-123.0939995,460 Railway St
505,Railway St,North,,,1,2015,49.2849332,-123.0927407,505 Railway St
500,Richards St,East,,,2,2012,49.2831322,-123.1129485,500 Richards St
410,Robson St,South,,YT,1,2016,49.2794275,-123.1172704,410 Robson St
433,Robson St,North,,,2,Prior 2010,49.2797792,-123.1171535,433 Robson St
